"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Superfície Residencial (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
"2021","1","Ciutat Vella",1,"el Raval",47228,"110.0","49.6",429,952
"2021","1","Ciutat Vella",2,"el Barri Gòtic",21827,"81.6","34.1",268,639
"2021","1","Ciutat Vella",3,"la Barceloneta",14643,"117.9","13.5",124,1081
"2021","1","Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22131,"111.0","32.4",199,683
"2021","2","Eixample",5,"el Fort Pienc",31262,"92.9","33.6",336,930
"2021","2","Eixample",6,"la Sagrada Família",51319,"104.2","51.0",493,1007
"2021","2","Eixample",7,"la Dreta de l'Eixample",44675,"212.0","113.9",211,392
"2021","2","Eixample",8,"l'Antiga Esquerra de l'Eixample",41990,"122.8","66.9",342,627
"2021","2","Eixample",9,"la Nova Esquerra de l'Eixample",57054,"134.1","65.2",426,876
"2021","2","Eixample",10,"Sant Antoni",38053,"80.4","41.3",473,921
"2021","3","Sants-Montjuïc",11,"el Poble Sec",39400,"458.5","38.1",86,1033
"2021","3","Sants-Montjuïc",12,"la Marina del Prat Vermell",1350,"1423.7","35.5",1,38
"2021","3","Sants-Montjuïc",13,"la Marina de Port",30741,"126.9","38.9",242,789
"2021","3","Sants-Montjuïc",14,"la Font de la Guatlla",10084,"29.7","11.5",339,873
"2021","3","Sants-Montjuïc",15,"Hostafrancs",15842,"41.0","22.1",386,717
"2021","3","Sants-Montjuïc",16,"la Bordeta",19292,"57.2","20.8",337,928
"2021","3","Sants-Montjuïc",17,"Sants - Badal",24576,"41.5","25.1",593,980
"2021","3","Sants-Montjuïc",18,"Sants",43082,"109.5","59.4",394,726
"2021","4","Les Corts",19,"les Corts",45422,"141.0","64.7",322,702
"2021","4","Les Corts",20,"la Maternitat i Sant Ramon",23574,"191.5","31.8",123,741
"2021","4","Les Corts",21,"Pedralbes",11581,"268.5","81.7",43,142
"2021","5","Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4697,"1132.9","242.0",4,19
"2021","5","Sarrià-Sant Gervasi",23,"Sarrià",24405,"304.7","95.4",80,256
"2021","5","Sarrià-Sant Gervasi",24,"les Tres Torres",16228,"78.8","42.5",206,382
"2021","5","Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25659,"223.4","82.1",115,313
"2021","5","Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46816,"166.9","95.4",280,491
"2021","5","Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29629,"84.8","53.1",349,558
"2021","6","Gràcia",28,"Vallcarca i els Penitents",16142,"125.1","48.2",129,335
"2021","6","Gràcia",29,"el Coll",7590,"35.3","12.4",215,611
"2021","6","Gràcia",30,"la Salut",13282,"64.8","19.5",205,680
"2021","6","Gràcia",31,"la Vila de Gràcia",49492,"132.1","84.0",375,589
"2021","6","Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34932,"65.1","38.5",537,907
"2021","7","Horta-Guinardó",33,"el Baix Guinardó",25601,"56.2","23.7",455,1079
"2021","7","Horta-Guinardó",34,"Can Baró",9233,"38.4","14.3",240,645
"2021","7","Horta-Guinardó",35,"el Guinardó",36939,"130.9","52.0",282,710
